22/1/2019 9:02:44 AM : **********************************************
22/1/2019 9:02:46 AM : 52: SS-BR010
22/1/2019 9:02:46 AM : 53: 
22/1/2019 9:02:46 AM : 54: SP-FP012
22/1/2019 9:02:46 AM : 55: SS-EM007
22/1/2019 9:02:46 AM : 56: SS-SE016
22/1/2019 9:02:46 AM : 57: SP-HS010
22/1/2019 9:02:46 AM : 58: 
22/1/2019 9:02:46 AM : 59: SP-RT009
22/1/2019 9:02:46 AM : 60: SS-DT009
22/1/2019 9:02:46 AM : 61: SS-SM003
22/1/2019 9:02:46 AM : 62: 
22/1/2019 9:02:46 AM : 63: SC-SB014
22/1/2019 9:02:46 AM : 64: SP-BA004
22/1/2019 9:02:46 AM : 65: SS-CR004
22/1/2019 9:02:46 AM : 66: SP-FP013
22/1/2019 9:02:46 AM : 67: SP-BN009
22/1/2019 9:02:46 AM : 68: SP-BN010
22/1/2019 9:02:46 AM : 69: SS-BR011
22/1/2019 9:02:46 AM : 70: SS-SS013
22/1/2019 9:02:46 AM : 71: SP-AU008
22/1/2019 9:02:46 AM : 72: SP-BN011
22/1/2019 9:02:46 AM : 73: SP-CE004
22/1/2019 9:02:46 AM : 74: SS-BC011
22/1/2019 9:02:46 AM : 75: SS-BP013
22/1/2019 9:02:46 AM : 76: SS-BR012
22/1/2019 9:02:46 AM : 77: SS-BS007
22/1/2019 9:02:46 AM : 78: SS-BS008
22/1/2019 9:02:46 AM : 79: SS-EM008
22/1/2019 9:02:46 AM : 80: SS-EM009
22/1/2019 9:02:46 AM : 81: SS-SV010
22/1/2019 9:02:46 AM : 82: SC-EB005
22/1/2019 9:02:46 AM : 83: SC-SB015
22/1/2019 9:02:46 AM : 84: SC-SN008
22/1/2019 9:02:46 AM : 85: SP-AU009
22/1/2019 9:02:46 AM : 86: SP-BN012
22/1/2019 9:02:46 AM : 87: SP-BN013
22/1/2019 9:02:46 AM : 88: SP-FD010
22/1/2019 9:02:46 AM : 89: SP-HC010
22/1/2019 9:02:46 AM : 90: SP-IT010
22/1/2019 9:02:46 AM : 91: SP-OT005
22/1/2019 9:02:46 AM : 92: SP-SM007
22/1/2019 9:02:46 AM : 93: SP-SM008
22/1/2019 9:02:46 AM : 94: SP-TT003
22/1/2019 9:02:46 AM : 95: SP-TT004
22/1/2019 9:02:46 AM : 96: SS-AB006
22/1/2019 9:02:46 AM : 97: SS-AB007
22/1/2019 9:02:46 AM : 98: SS-BB008
22/1/2019 9:02:46 AM : 99: SS-BC012
22/1/2019 9:02:46 AM : 100: SS-BR013
22/1/2019 9:02:46 AM : 101: SS-BS009
22/1/2019 9:02:46 AM : 102: SS-BS010
22/1/2019 9:02:46 AM : 103: SS-BS011
22/1/2019 9:02:46 AM : 104: SS-CR005
22/1/2019 9:02:46 AM : 105: SS-CR006
22/1/2019 9:02:46 AM : 106: SS-DT010
22/1/2019 9:02:46 AM : 107: SS-IL007
22/1/2019 9:02:46 AM : 108: SS-SE017
22/1/2019 9:02:46 AM : 109: SS-SE018
22/1/2019 9:02:46 AM : 110: SS-SM004
22/1/2019 9:02:46 AM : 111: SS-SP010
22/1/2019 9:02:46 AM : 112: 
22/1/2019 9:02:46 AM : 113: SP-GV008
22/1/2019 9:02:46 AM : 114: SP-FD011
22/1/2019 9:02:46 AM : 115: SC-SB016
22/1/2019 9:02:46 AM : 116: SP-FD012
22/1/2019 9:02:46 AM : 117: SS-BP014
22/1/2019 9:02:46 AM : 118: SS-BR014
22/1/2019 9:02:46 AM : 119: SS-IL008
22/1/2019 9:02:46 AM : 120: SS-MP001
22/1/2019 9:02:46 AM : 121: SS-SE019
22/1/2019 9:02:46 AM : 122: SS-SP011
22/1/2019 9:02:46 AM : 123: SS-BP015
22/1/2019 9:02:46 AM : 124: SS-EM010
22/1/2019 9:02:46 AM : 125: SC-SN009
22/1/2019 9:02:46 AM : 126: SP-SM009
22/1/2019 9:02:46 AM : 127: SP-HC011
22/1/2019 9:02:46 AM : 128: SS-SS014
22/1/2019 9:02:46 AM : 129: SP-BA005
22/1/2019 9:02:46 AM : 130: SP-BN014
22/1/2019 9:02:46 AM : 131: SP-FD013
22/1/2019 9:02:46 AM : 132: SS-MP002
22/1/2019 9:02:46 AM : 133: SS-MV008
22/1/2019 9:02:46 AM : 134: SS-SP012
22/1/2019 9:02:46 AM : 135: SP-OT006
22/1/2019 9:02:46 AM : 136: SP-OT007
22/1/2019 9:02:46 AM : 137: SS-BC013
22/1/2019 9:02:46 AM : 138: SS-BC014
22/1/2019 9:02:46 AM : 139: SS-SE020
22/1/2019 9:02:46 AM : 140: SC-SB017
22/1/2019 9:02:46 AM : 141: SS-SE021
22/1/2019 9:02:46 AM : 142: MP-PS003
22/1/2019 9:02:46 AM : 143: SP-FP014
22/1/2019 9:02:46 AM : 144: SS-BR015
22/1/2019 9:02:46 AM : 145: SS-CR007
22/1/2019 9:02:46 AM : 146: SP-HC012
22/1/2019 9:02:46 AM : 147: SP-HC013
22/1/2019 9:02:46 AM : 148: SP-GV009
22/1/2019 9:02:46 AM : 149: SP-GV010
22/1/2019 9:02:46 AM : 150: SP-HC014
22/1/2019 9:02:46 AM : 151: SP-BW014
22/1/2019 9:02:46 AM : 152: SP-BW015
22/1/2019 9:02:46 AM : 153: SS-SM005
22/1/2019 9:02:46 AM : 154: SS-SP013
22/1/2019 9:02:46 AM : 155: SS-MV009
22/1/2019 9:02:46 AM : 156: SP-CE005
22/1/2019 9:02:46 AM : 157: SS-BC015
22/1/2019 9:02:46 AM : 158: SP-BN015
22/1/2019 9:02:46 AM : 159: SP-CE006
22/1/2019 9:02:46 AM : 160: SS-SE022
22/1/2019 9:02:46 AM : 161: 
22/1/2019 9:02:46 AM : 162: SS-SE023
22/1/2019 9:02:46 AM : 163: SS-BC016
22/1/2019 9:02:46 AM : 164: MP-PS004
22/1/2019 9:02:46 AM : 165: SC-SB018
22/1/2019 9:02:46 AM : 166: SP-HS011
22/1/2019 9:02:46 AM : 167: MP-PS005
22/1/2019 9:02:46 AM : 168: SS-SE024
22/1/2019 9:02:46 AM : 169: 
22/1/2019 9:02:46 AM : 170: SS-DT011
22/1/2019 9:02:46 AM : 171: SS-DT012
22/1/2019 9:02:46 AM : 172: 
22/1/2019 9:02:46 AM : 173: SS-BP016
22/1/2019 9:02:46 AM : 174: SP-RT010
22/1/2019 9:02:46 AM : 175: SP-HC015
22/1/2019 9:02:46 AM : 176: SP-BW016
22/1/2019 9:02:46 AM : 177: SP-FP015
22/1/2019 9:02:46 AM : 178: SP-SM010
22/1/2019 9:02:46 AM : 179: SS-DT013
22/1/2019 9:02:46 AM : 180: SS-SM006
22/1/2019 9:02:46 AM : 181: SC-SN010
22/1/2019 9:02:46 AM : 182: SP-GV011
22/1/2019 9:02:46 AM : 183: SP-FD014
22/1/2019 9:02:46 AM : 184: SP-RS005
22/1/2019 9:02:46 AM : 185: SP-BN016
22/1/2019 9:02:46 AM : 186: SC-SB019
22/1/2019 9:02:46 AM : 187: SP-HS012
22/1/2019 9:02:46 AM : 188: 
22/1/2019 9:02:46 AM : 189: SP-RT011
22/1/2019 9:02:46 AM : 190: SP-RT012
22/1/2019 9:02:46 AM : 191: SP-FP016
22/1/2019 9:02:46 AM : 192: SP-TT005
22/1/2019 9:02:46 AM : 193: SS-BC017
22/1/2019 9:02:46 AM : 194: SS-BS012
22/1/2019 9:02:46 AM : 195: SS-BS013
22/1/2019 9:02:46 AM : 196: SS-EM011
22/1/2019 9:02:46 AM : 197: SS-EM012
22/1/2019 9:02:46 AM : 198: SS-SV011
22/1/2019 9:02:46 AM : 199: SP-FD015
22/1/2019 9:02:46 AM : 200: SP-FP017
22/1/2019 9:02:46 AM : 201: 
22/1/2019 9:02:46 AM : 202: SP-HC016
22/1/2019 9:02:46 AM : 203: SP-OT008
22/1/2019 9:02:46 AM : 204: SS-BC018
22/1/2019 9:02:46 AM : 205: SS-CR008
22/1/2019 9:02:46 AM : 206: SS-EM013
22/1/2019 9:02:46 AM : 207: SS-DT014
22/1/2019 9:02:46 AM : 208: SP-RT013
22/1/2019 9:02:46 AM : 209: SP-RT014
22/1/2019 9:02:46 AM : 210: SS-MP003
22/1/2019 9:02:46 AM : 211: SS-MV010
22/1/2019 9:02:46 AM : 212: SS-SE025
22/1/2019 9:02:46 AM : 213: SS-SE026
22/1/2019 9:02:46 AM : 214: SS-SS015
22/1/2019 9:02:46 AM : 215: SS-BP017
22/1/2019 9:02:46 AM : 216: SS-BP018
22/1/2019 9:02:46 AM : 217: SS-SE027
22/1/2019 9:02:46 AM : 218: SS-SP014
22/1/2019 9:02:46 AM : 219: SS-DT015
22/1/2019 9:02:46 AM : 220: SS-BC019
22/1/2019 9:02:46 AM : 221: SS-BP019
22/1/2019 9:02:46 AM : 222: SP-FD016
22/1/2019 9:02:46 AM : 223: SP-FD017
22/1/2019 9:02:46 AM : 224: SP-HS013
22/1/2019 9:02:46 AM : 225: SS-SP015
22/1/2019 9:02:46 AM : 226: SP-SM011
22/1/2019 9:02:46 AM : 227: SS-MV011
22/1/2019 9:02:46 AM : 228: SC-SB020
22/1/2019 9:02:46 AM : 229: SP-HS014
22/1/2019 9:02:46 AM : 230: SP-OT009
22/1/2019 9:02:46 AM : 231: SS-BC020
22/1/2019 9:02:46 AM : 232: SP-BW017
22/1/2019 9:02:46 AM : 233: SP-BN017
22/1/2019 9:02:46 AM : 234: SS-SE028
22/1/2019 9:02:46 AM : 235: SS-EM014
22/1/2019 9:02:46 AM : 236: SP-FD018
22/1/2019 9:02:46 AM : 237: SP-TT006
22/1/2019 9:02:46 AM : 238: SP-HS015
22/1/2019 9:02:46 AM : 239: SP-BN018
22/1/2019 9:02:46 AM : 240: SS-BP020
22/1/2019 9:02:46 AM : 241: SS-MP004
22/1/2019 9:02:46 AM : 242: SS-YM007
22/1/2019 9:02:46 AM : 243: SS-IL009
22/1/2019 9:02:46 AM : 244: SP-BN019
22/1/2019 9:02:46 AM : 245: SS-SE029
22/1/2019 9:02:46 AM : 246: 
22/1/2019 9:02:46 AM : 247: SS-SE030
22/1/2019 9:02:46 AM : 248: SS-YM008
22/1/2019 9:02:46 AM : 249: SP-TT007
22/1/2019 9:02:46 AM : 250: SS-DG009
22/1/2019 9:02:46 AM : 1: SP-BW005_CreativeMaterials_Video.mp4=>SP-BW005
22/1/2019 9:02:46 AM : 2: SS-BS008_CreativeMaterials_Video.mp4=>SS-BS008
22/1/2019 9:14:17 AM : **********************************************
22/1/2019 9:14:17 AM : -------Service Start-------
22/1/2019 9:14:17 AM : DateTime: 22/1/2019 9:14:17 AM
22/1/2019 9:15:56 AM : **********************************************
22/1/2019 9:15:56 AM : -------Service Start-------
22/1/2019 9:15:56 AM : DateTime: 22/1/2019 9:15:56 AM
22/1/2019 9:15:58 AM : ----------------------------------------------
22/1/2019 9:15:58 AM : ...Started Reading Videos...
22/1/2019 9:15:58 AM : ----------------------------------------------
22/1/2019 9:15:59 AM : 1: SS-SE013
22/1/2019 9:15:59 AM : 2: 
22/1/2019 9:15:59 AM : 3: SP-RT008
22/1/2019 9:15:59 AM : 4: SS-BS006
22/1/2019 9:15:59 AM : 5: SP-BW013
22/1/2019 9:15:59 AM : 6: SS-EM005
22/1/2019 9:15:59 AM : 7: SS-MV007
22/1/2019 9:15:59 AM : 8: SS-SM002
22/1/2019 9:15:59 AM : 9: SC-SN006
22/1/2019 9:15:59 AM : 10: SP-AU005
22/1/2019 9:15:59 AM : 11: SS-DT007
22/1/2019 9:15:59 AM : 12: SS-SV008
22/1/2019 9:15:59 AM : 13: SS-SE014
22/1/2019 9:15:59 AM : 14: SS-SP008
22/1/2019 9:15:59 AM : 15: SS-SV009
22/1/2019 9:15:59 AM : 16: SC-SN007
22/1/2019 9:15:59 AM : 17: SS-BP010
22/1/2019 9:15:59 AM : 18: SS-EM006
22/1/2019 9:15:59 AM : 19: SS-SE015
22/1/2019 9:15:59 AM : 20: SS-BP011
22/1/2019 9:15:59 AM : 21: SP-AU006
22/1/2019 9:15:59 AM : 22: SS-DT008
22/1/2019 9:15:59 AM : 23: SS-SP009
22/1/2019 9:15:59 AM : 24: SP-GV006
22/1/2019 9:15:59 AM : 25: SP-RS004
22/1/2019 9:15:59 AM : 26: 
22/1/2019 9:15:59 AM : 27: SP-AU007
22/1/2019 9:15:59 AM : 28: SP-CE003
22/1/2019 9:15:59 AM : 29: SS-BR009
22/1/2019 9:15:59 AM : 30: SC-SB011
22/1/2019 9:15:59 AM : 31: SP-ME002
22/1/2019 9:15:59 AM : 32: SP-SM005
22/1/2019 9:15:59 AM : 33: SP-ME003
22/1/2019 9:15:59 AM : 34: SP-IT009
22/1/2019 9:15:59 AM : 35: SS-IL005
22/1/2019 9:15:59 AM : 36: SC-SB012
22/1/2019 9:15:59 AM : 37: SC-SB013
22/1/2019 9:15:59 AM : 38: SP-BN008
22/1/2019 9:15:59 AM : 39: SP-FD009
22/1/2019 9:15:59 AM : 40: SP-GV007
22/1/2019 9:15:59 AM : 41: SP-HC009
22/1/2019 9:15:59 AM : 42: SP-HS008
22/1/2019 9:15:59 AM : 43: SP-TT002
22/1/2019 9:15:59 AM : 44: SS-BP012
22/1/2019 9:15:59 AM : 45: SS-IL006
22/1/2019 9:15:59 AM : 46: SS-YM006
22/1/2019 9:15:59 AM : 47: 
22/1/2019 9:15:59 AM : 48: SS-BC010
22/1/2019 9:15:59 AM : 49: MP-PS002
22/1/2019 9:15:59 AM : 50: SP-HS009
22/1/2019 9:15:59 AM : 51: SP-SM006
22/1/2019 9:15:59 AM : 52: SS-BR010
22/1/2019 9:15:59 AM : 53: 
22/1/2019 9:15:59 AM : 54: SP-FP012
22/1/2019 9:15:59 AM : 55: SS-EM007
22/1/2019 9:15:59 AM : 56: SS-SE016
22/1/2019 9:15:59 AM : 57: SP-HS010
22/1/2019 9:15:59 AM : 58: 
22/1/2019 9:15:59 AM : 59: SP-RT009
22/1/2019 9:15:59 AM : 60: SS-DT009
22/1/2019 9:15:59 AM : 61: SS-SM003
22/1/2019 9:15:59 AM : 62: 
22/1/2019 9:15:59 AM : 63: SC-SB014
22/1/2019 9:15:59 AM : 64: SP-BA004
22/1/2019 9:15:59 AM : 65: SS-CR004
22/1/2019 9:15:59 AM : 66: SP-FP013
22/1/2019 9:15:59 AM : 67: SP-BN009
22/1/2019 9:15:59 AM : 68: SP-BN010
22/1/2019 9:15:59 AM : 69: SS-BR011
22/1/2019 9:15:59 AM : 70: SS-SS013
22/1/2019 9:15:59 AM : 71: SP-AU008
22/1/2019 9:15:59 AM : 72: SP-BN011
22/1/2019 9:15:59 AM : 73: SP-CE004
22/1/2019 9:15:59 AM : 74: SS-BC011
22/1/2019 9:15:59 AM : 75: SS-BP013
22/1/2019 9:15:59 AM : 76: SS-BR012
22/1/2019 9:15:59 AM : 77: SS-BS007
22/1/2019 9:15:59 AM : 78: SS-BS008
22/1/2019 9:15:59 AM : 79: SS-EM008
22/1/2019 9:15:59 AM : 80: SS-EM009
22/1/2019 9:15:59 AM : 81: SS-SV010
22/1/2019 9:15:59 AM : 82: SC-EB005
22/1/2019 9:15:59 AM : 83: SC-SB015
22/1/2019 9:15:59 AM : 84: SC-SN008
22/1/2019 9:15:59 AM : 85: SP-AU009
22/1/2019 9:15:59 AM : 86: SP-BN012
22/1/2019 9:15:59 AM : 87: SP-BN013
22/1/2019 9:15:59 AM : 88: SP-FD010
22/1/2019 9:15:59 AM : 89: SP-HC010
22/1/2019 9:15:59 AM : 90: SP-IT010
22/1/2019 9:15:59 AM : 91: SP-OT005
22/1/2019 9:15:59 AM : 92: SP-SM007
22/1/2019 9:15:59 AM : 93: SP-SM008
22/1/2019 9:15:59 AM : 94: SP-TT003
22/1/2019 9:15:59 AM : 95: SP-TT004
22/1/2019 9:15:59 AM : 96: SS-AB006
22/1/2019 9:15:59 AM : 97: SS-AB007
22/1/2019 9:15:59 AM : 98: SS-BB008
22/1/2019 9:15:59 AM : 99: SS-BC012
22/1/2019 9:15:59 AM : 100: SS-BR013
22/1/2019 9:15:59 AM : 101: SS-BS009
22/1/2019 9:15:59 AM : 102: SS-BS010
22/1/2019 9:15:59 AM : 103: SS-BS011
22/1/2019 9:15:59 AM : 104: SS-CR005
22/1/2019 9:15:59 AM : 105: SS-CR006
22/1/2019 9:15:59 AM : 106: SS-DT010
22/1/2019 9:15:59 AM : 107: SS-IL007
22/1/2019 9:15:59 AM : 108: SS-SE017
22/1/2019 9:15:59 AM : 109: SS-SE018
22/1/2019 9:15:59 AM : 110: SS-SM004
22/1/2019 9:15:59 AM : 111: SS-SP010
22/1/2019 9:15:59 AM : 112: 
22/1/2019 9:15:59 AM : 113: SP-GV008
22/1/2019 9:15:59 AM : 114: SP-FD011
22/1/2019 9:15:59 AM : 115: SC-SB016
22/1/2019 9:15:59 AM : 116: SP-FD012
22/1/2019 9:15:59 AM : 117: SS-BP014
22/1/2019 9:15:59 AM : 118: SS-BR014
22/1/2019 9:15:59 AM : 119: SS-IL008
22/1/2019 9:15:59 AM : 120: SS-MP001
22/1/2019 9:15:59 AM : 121: SS-SE019
22/1/2019 9:15:59 AM : 122: SS-SP011
22/1/2019 9:15:59 AM : 123: SS-BP015
22/1/2019 9:15:59 AM : 124: SS-EM010
22/1/2019 9:15:59 AM : 125: SC-SN009
22/1/2019 9:15:59 AM : 126: SP-SM009
22/1/2019 9:15:59 AM : 127: SP-HC011
22/1/2019 9:15:59 AM : 128: SS-SS014
22/1/2019 9:15:59 AM : 129: SP-BA005
22/1/2019 9:15:59 AM : 130: SP-BN014
22/1/2019 9:15:59 AM : 131: SP-FD013
22/1/2019 9:15:59 AM : 132: SS-MP002
22/1/2019 9:15:59 AM : 133: SS-MV008
22/1/2019 9:15:59 AM : 134: SS-SP012
22/1/2019 9:15:59 AM : 135: SP-OT006
22/1/2019 9:15:59 AM : 136: SP-OT007
22/1/2019 9:15:59 AM : 137: SS-BC013
22/1/2019 9:15:59 AM : 138: SS-BC014
22/1/2019 9:15:59 AM : 139: SS-SE020
22/1/2019 9:15:59 AM : 140: SC-SB017
22/1/2019 9:15:59 AM : 141: SS-SE021
22/1/2019 9:15:59 AM : 142: MP-PS003
22/1/2019 9:15:59 AM : 143: SP-FP014
22/1/2019 9:15:59 AM : 144: SS-BR015
22/1/2019 9:15:59 AM : 145: SS-CR007
22/1/2019 9:15:59 AM : 146: SP-HC012
22/1/2019 9:15:59 AM : 147: SP-HC013
22/1/2019 9:15:59 AM : 148: SP-GV009
22/1/2019 9:15:59 AM : 149: SP-GV010
22/1/2019 9:15:59 AM : 150: SP-HC014
22/1/2019 9:15:59 AM : 151: SP-BW014
22/1/2019 9:15:59 AM : 152: SP-BW015
22/1/2019 9:15:59 AM : 153: SS-SM005
22/1/2019 9:15:59 AM : 154: SS-SP013
22/1/2019 9:15:59 AM : 155: SS-MV009
22/1/2019 9:15:59 AM : 156: SP-CE005
22/1/2019 9:15:59 AM : 157: SS-BC015
22/1/2019 9:15:59 AM : 158: SP-BN015
22/1/2019 9:15:59 AM : 159: SP-CE006
22/1/2019 9:15:59 AM : 160: SS-SE022
22/1/2019 9:15:59 AM : 161: 
22/1/2019 9:15:59 AM : 162: SS-SE023
22/1/2019 9:15:59 AM : 163: SS-BC016
22/1/2019 9:15:59 AM : 164: MP-PS004
22/1/2019 9:15:59 AM : 165: SC-SB018
22/1/2019 9:15:59 AM : 166: SP-HS011
22/1/2019 9:15:59 AM : 167: MP-PS005
22/1/2019 9:15:59 AM : 168: SS-SE024
22/1/2019 9:15:59 AM : 169: 
22/1/2019 9:15:59 AM : 170: SS-DT011
22/1/2019 9:15:59 AM : 171: SS-DT012
22/1/2019 9:15:59 AM : 172: 
22/1/2019 9:15:59 AM : 173: SS-BP016
22/1/2019 9:15:59 AM : 174: SP-RT010
22/1/2019 9:15:59 AM : 175: SP-HC015
22/1/2019 9:15:59 AM : 176: SP-BW016
22/1/2019 9:15:59 AM : 177: SP-FP015
22/1/2019 9:15:59 AM : 178: SP-SM010
22/1/2019 9:15:59 AM : 179: SS-DT013
22/1/2019 9:15:59 AM : 180: SS-SM006
22/1/2019 9:15:59 AM : 181: SC-SN010
22/1/2019 9:15:59 AM : 182: SP-GV011
22/1/2019 9:15:59 AM : 183: SP-FD014
22/1/2019 9:15:59 AM : 184: SP-RS005
22/1/2019 9:15:59 AM : 185: SP-BN016
22/1/2019 9:15:59 AM : 186: SC-SB019
22/1/2019 9:15:59 AM : 187: SP-HS012
22/1/2019 9:15:59 AM : 188: 
22/1/2019 9:15:59 AM : 189: SP-RT011
22/1/2019 9:15:59 AM : 190: SP-RT012
22/1/2019 9:15:59 AM : 191: SP-FP016
22/1/2019 9:15:59 AM : 192: SP-TT005
22/1/2019 9:15:59 AM : 193: SS-BC017
22/1/2019 9:15:59 AM : 194: SS-BS012
22/1/2019 9:15:59 AM : 195: SS-BS013
22/1/2019 9:15:59 AM : 196: SS-EM011
22/1/2019 9:15:59 AM : 197: SS-EM012
22/1/2019 9:15:59 AM : 198: SS-SV011
22/1/2019 9:15:59 AM : 199: SP-FD015
22/1/2019 9:15:59 AM : 200: SP-FP017
22/1/2019 9:15:59 AM : 201: 
22/1/2019 9:15:59 AM : 202: SP-HC016
22/1/2019 9:15:59 AM : 203: SP-OT008
22/1/2019 9:15:59 AM : 204: SS-BC018
22/1/2019 9:15:59 AM : 205: SS-CR008
22/1/2019 9:15:59 AM : 206: SS-EM013
22/1/2019 9:15:59 AM : 207: SS-DT014
22/1/2019 9:15:59 AM : 208: SP-RT013
22/1/2019 9:15:59 AM : 209: SP-RT014
22/1/2019 9:15:59 AM : 210: SS-MP003
22/1/2019 9:15:59 AM : 211: SS-MV010
22/1/2019 9:15:59 AM : 212: SS-SE025
22/1/2019 9:15:59 AM : 213: SS-SE026
22/1/2019 9:15:59 AM : 214: SS-SS015
22/1/2019 9:15:59 AM : 215: SS-BP017
22/1/2019 9:15:59 AM : 216: SS-BP018
22/1/2019 9:15:59 AM : 217: SS-SE027
22/1/2019 9:15:59 AM : 218: SS-SP014
22/1/2019 9:15:59 AM : 219: SS-DT015
22/1/2019 9:15:59 AM : 220: SS-BC019
22/1/2019 9:15:59 AM : 221: SS-BP019
22/1/2019 9:15:59 AM : 222: SP-FD016
22/1/2019 9:15:59 AM : 223: SP-FD017
22/1/2019 9:15:59 AM : 224: SP-HS013
22/1/2019 9:15:59 AM : 225: SS-SP015
22/1/2019 9:15:59 AM : 226: SP-SM011
22/1/2019 9:15:59 AM : 227: SS-MV011
22/1/2019 9:15:59 AM : 228: SC-SB020
22/1/2019 9:15:59 AM : 229: SP-HS014
22/1/2019 9:15:59 AM : 230: SP-OT009
22/1/2019 9:15:59 AM : 231: SS-BC020
22/1/2019 9:15:59 AM : 232: SP-BW017
22/1/2019 9:15:59 AM : 233: SP-BN017
22/1/2019 9:15:59 AM : 234: SS-SE028
22/1/2019 9:15:59 AM : 235: SS-EM014
22/1/2019 9:15:59 AM : 236: SP-FD018
22/1/2019 9:15:59 AM : 237: SP-TT006
22/1/2019 9:15:59 AM : 238: SP-HS015
22/1/2019 9:15:59 AM : 239: SP-BN018
22/1/2019 9:15:59 AM : 240: SS-BP020
22/1/2019 9:15:59 AM : 241: SS-MP004
22/1/2019 9:15:59 AM : 242: SS-YM007
22/1/2019 9:15:59 AM : 243: SS-IL009
22/1/2019 9:15:59 AM : 244: SP-BN019
22/1/2019 9:15:59 AM : 245: SS-SE029
22/1/2019 9:15:59 AM : 246: 
22/1/2019 9:15:59 AM : 247: SS-SE030
22/1/2019 9:15:59 AM : 248: SS-YM008
22/1/2019 9:15:59 AM : 249: SP-TT007
22/1/2019 9:15:59 AM : 250: SS-DG009
22/1/2019 9:15:59 AM : 1: SP-BW005_CreativeMaterials_Video.mp4=>SP-BW005
22/1/2019 9:15:59 AM : 2: SS-BS008_CreativeMaterials_Video.mp4=>SS-BS008
22/1/2019 9:25:04 AM : **********************************************
22/1/2019 9:25:04 AM : -------Service Start-------
22/1/2019 9:25:04 AM : DateTime: 22/1/2019 9:25:04 AM
22/1/2019 9:25:06 AM : ----------------------------------------------
22/1/2019 9:25:06 AM : ...Started Reading Videos...
22/1/2019 9:25:06 AM : ----------------------------------------------
22/1/2019 9:25:06 AM : 1: SS-SE013
22/1/2019 9:25:06 AM : 2: 
22/1/2019 9:25:06 AM : 3: SP-RT008
22/1/2019 9:25:06 AM : 4: SS-BS006
22/1/2019 9:25:06 AM : 5: SP-BW013
22/1/2019 9:25:06 AM : 6: SS-EM005
22/1/2019 9:25:06 AM : 7: SS-MV007
22/1/2019 9:25:06 AM : 8: SS-SM002
22/1/2019 9:25:06 AM : 9: SC-SN006
22/1/2019 9:25:06 AM : 10: SP-AU005
22/1/2019 9:25:06 AM : 11: SS-DT007
22/1/2019 9:25:06 AM : 12: SS-SV008
